Day;Month;Player;Mission;TimeToFinishMission;;
7;10;5;1;1.442465;;
7;10;5;2;1.06563;;
7;10;5;3;29.75381;;
7;10;5;4;2.68388;;
7;10;5;5;4.667307;;
7;10;5;6;17.43838;;
7;10;5;7;34.6907;;
7;10;5;8;13.88661;;
7;10;5;9;15.11087;;
7;10;5;10;6.945194;;
7;10;5;11;5.535683;;
7;10;5;12;18.43894;;
7;10;3;1;0.6125293;;
7;10;3;2;35.7442;;
7;10;3;3;59.38413;;
7;10;3;4;13.53165;;
7;10;3;5;27.90752;;
7;10;3;6;7.854074;;
7;10;3;7;8.971272;;
7;10;3;8;20.2797;;
7;10;2;1;8.337594;;
7;10;2;2;12.05827;;
7;10;2;3;57.59335;;
7;10;2;4;28.79572;;
7;10;2;5;14.14999;;
7;10;2;6;27.17179;;
7;10;2;7;14.82991;;
7;10;2;8;6.005852;;
7;10;2;9;18.47333;;
7;10;2;10;13.63043;;
7;10;2;11;12.37198;;
7;10;2;12;12.50428;;
31;8;3;1;13.67168;;
31;8;3;2;51.37755;;
31;8;3;3;43.01289;;
31;8;3;4;41.25068;;
31;8;3;5;0.4465485;;
31;8;3;6;55.06372;;
31;8;3;7;81.11869;;
31;8;3;8;7.118413;;
31;8;3;9;78.24236;;
31;8;3;10;66.79952;;
31;8;3;11;18.55742;;
31;8;3;12;25.387;;
31;8;2;1;120.4969;;
31;8;2;2;59.79383;;
31;8;2;3;26.75186;;
31;8;2;4;24.13985;;
31;8;2;5;31.26259;;
31;8;2;6;12.05607;;
31;8;2;7;50.02076;;
31;8;2;8;39.18863;;
31;8;2;9;54.51482;;
31;8;2;10;32.77061;;
31;8;2;11;14.87252;;
31;8;2;12;11.90172;;
7;10;4;1;25.52904;;
7;10;4;2;25.15595;;
7;10;4;3;17.18095;;
7;10;4;4;15.94065;;
7;10;4;5;21.26866;;
7;10;4;6;28.24383;;
7;10;4;7;5.158637;;
7;10;4;8;11.17809;;
7;10;4;9;9.62069;;
7;10;4;10;6.656353;;
7;10;4;11;30.31899;;
7;10;4;12;15.85483;;
12;10;3;1;2.881575;;
12;10;3;2;1.057512;;
12;10;3;3;49.90678;;
12;10;3;4;14.35396;;
12;10;3;5;1.308658;;
12;10;3;6;12.93744;;
12;10;3;7;16.63917;;
12;10;3;8;7.118855;;
12;10;3;9;30.79301;;
12;10;3;10;7.502173;;
12;10;3;11;29.35447;;
12;10;3;12;4.793296;;
12;10;2;1;11.47421;;
12;10;2;2;11.54883;;
12;10;2;3;5.507296;;
12;10;2;4;40.06232;;
12;10;2;5;20.38207;;
12;10;2;6;10.9242;;
12;10;2;8;13.35048;;
12;10;2;9;17.43801;;
12;10;2;10;24.18862;;
12;10;2;11;10.87888;;
12;10;2;12;22.99157;;
12;10;5;1;23.16782;;151.659469
12;10;5;3;16.3387;;
12;10;5;4;8.798796;;
12;10;5;5;39.69345;;
12;10;5;6;5.586583;;
12;10;5;7;21.57219;;
12;10;5;8;13.32993;;
12;10;5;9;7.566195;;
12;10;5;10;0.7051441;;
12;10;5;11;17.41529;;
12;10;5;12;2.226869;;
14;10;3;1;29.57913;;
14;10;3;2;35.92519;;
14;10;3;3;23.25079;;
14;10;3;4;6.110919;;
14;10;3;5;17.58886;;
14;10;3;6;24.04051;;
14;10;3;7;6.880253;;
14;10;3;8;1.008883;;
14;10;3;9;35.54253;;
14;10;3;10;16.91498;;
14;10;3;11;1.034691;;
14;10;3;12;15.67314;;
31;8;1;1;12.14863;;
31;8;1;2;96.34508;;
31;8;1;3;14.67296;;
31;8;1;5;118.4502;;
31;8;1;6;54.33591;;
14;10;4;1;16.00645;;
14;10;4;2;24.70358;;
14;10;4;3;3.708;;
14;10;4;4;29.84495;;
14;10;4;5;14.86312;;
14;10;4;6;16.93444;;
14;10;4;7;17.901;;
14;10;4;8;13.86068;;
14;10;4;9;12.92035;;
14;10;4;10;8.775245;;
14;10;4;11;20.87183;;
14;10;4;12;22.59139;;
14;10;5;1;10.23719;;
14;10;5;2;29.99062;;
14;10;5;3;21.42212;;
14;10;5;4;18.77295;;
14;10;5;5;14.82677;;
14;10;5;6;39.27935;;
14;10;5;7;31.37937;;
14;10;5;8;65.9982;;
14;10;5;9;14.61255;;
14;10;5;10;5.939811;;
14;10;5;11;13.91482;;
14;10;5;12;30.42592;;
7;9;1;1;47.77791;;
7;9;1;2;13.47487;;
7;9;1;3;2.961244;;
7;9;1;4;17.6702;;
7;9;1;5;14.94586;;
7;9;1;6;51.20575;;
7;9;1;7;48.40362;;
7;9;1;8;23.7999;;
7;9;1;9;2.732067;;
7;9;1;10;36.1473;;
7;9;1;11;89.30122;;
7;9;1;12;43.93087;;
2;9;1;1;0.5828958;;
2;9;1;2;42.05722;;
2;9;1;3;25.39623;;
2;9;1;4;26.81116;;
2;9;1;5;24.46175;;
2;9;1;6;13.33694;;
2;9;1;7;68.34164;;
2;9;1;8;5.571149;;
2;9;1;9;8.037951;;
2;9;1;10;49.85079;;
2;9;1;11;38.87082;;
2;9;1;12;18.92042;;
7;9;2;1;47.96449;;
7;9;2;2;51.32843;;
7;9;2;3;31.36611;;
7;9;2;4;41.69416;;
7;9;2;5;9.492839;;
7;9;2;6;9.628577;;
7;9;2;7;33.33004;;
7;9;2;8;21.23466;;
7;9;2;9;21.87009;;
7;9;2;10;32.06879;;
7;9;2;11;9.376755;;
7;9;2;12;29.84335;;
7;9;4;1;33.82627;;
7;9;4;3;20.19811;;
7;9;4;4;31.75767;;
7;9;4;5;42.14734;;
7;9;4;6;11.17569;;
7;9;4;7;35.66457;;
7;9;4;8;20.47046;;
7;9;4;9;16.50424;;
7;9;4;10;13.99526;;
7;9;3;1;2.627332;;
7;9;3;2;73.70906;;
7;9;3;3;10.6656;;
7;9;3;4;14.57154;;
7;9;3;5;15.64814;;
7;9;3;6;28.25219;;
7;9;3;7;11.93979;;
7;9;3;8;6.385395;;
7;9;3;9;6.223505;;
7;9;3;10;5.802612;;
7;9;3;11;10.28113;;
7;9;3;12;74.2095;;
7;9;5;1;12.36497;;
7;9;5;2;24.29786;;
7;9;5;3;38.26777;;
7;9;5;4;7.532799;;
7;9;5;5;10.86269;;
7;9;5;6;6.220502;;
7;9;5;7;12.10317;;
7;9;5;8;26.02777;;
7;9;5;9;10.14174;;
7;9;5;10;19.90695;;
7;9;5;11;38.81997;;
7;9;5;12;7.528199;;
9;9;1;1;94.29617;;
9;9;2;1;0.5944024;;
9;9;2;2;16.59975;;
9;9;2;3;56.37402;;
9;9;2;4;19.80973;;
9;9;2;5;50.39458;;
9;9;2;6;10.46341;;
9;9;2;7;22.03018;;
9;9;2;8;18.61881;;
9;9;2;9;52.97392;;
9;9;2;10;13.39044;;
9;9;2;11;15.42509;;
9;9;2;12;33.64933;;
9;9;3;1;7.267889;;
9;9;3;2;5.46357;;
9;9;3;3;1.666153;;
9;9;3;4;72.85194;;
9;9;3;5;7.887718;;
9;9;3;6;23.01625;;
9;9;3;7;1.754484;;
9;9;3;8;24.3491;;
9;9;3;9;21.18096;;
9;9;3;10;8.448442;;
9;9;3;11;16.03585;;
9;9;3;12;0.0249326;;
9;9;4;1;11.31163;;
9;9;4;2;20.94017;;
9;9;4;3;7.561744;;
9;9;4;5;13.46982;;
9;9;4;6;8.224447;;
9;9;4;7;36.5695;;
9;9;4;8;27.00942;;
9;9;4;9;14.63439;;
9;9;4;10;9.604053;;
9;9;4;11;3.482506;;
9;9;4;12;41.6979;;
9;9;5;1;4.317142;;
9;9;5;2;6.91227;;
9;9;5;3;25.69554;;
9;9;5;4;5.678471;;
9;9;5;5;12.68752;;
9;9;5;6;6.694958;;
9;9;5;7;10.36187;;
9;9;5;8;9.038044;;
9;9;5;9;11.71933;;
9;9;5;10;48.63516;;
9;9;5;11;17.34972;;
9;9;5;12;19.71622;;
14;9;1;1;9.10168;;
14;9;1;2;8.365317;;
14;9;1;3;20.18576;;
14;9;1;4;16.3668;;
14;9;1;5;5.653145;;
14;9;1;6;12.12765;;
14;9;1;7;6.032655;;
14;9;1;8;3.819069;;
14;9;1;9;13.26753;;
14;9;1;10;9.100692;;
14;9;1;11;71.12217;;
14;9;1;12;48.67522;;
14;9;2;1;9.594324;;
14;9;2;2;27.39081;;
14;9;2;3;6.765199;;
14;9;2;4;10.79602;;
14;9;2;5;15.7775;;
14;9;2;6;18.16843;;
14;9;2;7;2.999391;;
14;9;2;8;7.338286;;
14;9;2;9;7.352923;;
14;9;2;10;5.203604;;
14;9;2;11;19.90245;;
14;9;2;12;18.85161;;
14;9;4;1;5.118577;;
14;9;4;2;12.61965;;
14;9;4;3;9.049421;;
14;9;4;4;69.51315;;
14;9;4;5;8.648165;;
14;9;4;6;4.808387;;
14;9;4;7;31.58887;;
14;9;4;8;14.14614;;
14;9;4;9;4.01673;;
14;9;4;10;48.35326;;
14;9;4;11;17.01335;;
14;9;4;12;8.003575;;
16;9;4;1;37.50469;;
16;9;4;2;9.51055;;
16;9;4;3;14.64278;;
16;9;4;4;23.1067;;
16;9;4;5;38.34463;;
16;9;4;6;12.20596;;
16;9;4;7;29.89426;;
16;9;4;8;23.08683;;
14;9;3;1;14.32288;;
14;9;3;2;79.64551;;
14;9;3;3;69.64922;;
14;9;3;4;96.63264;;
14;9;3;5;41.08793;;
14;9;3;6;26.872;;
14;9;3;7;25.19396;;
14;9;3;8;19.58851;;
14;9;3;9;2.635552;;
14;9;3;10;29.37982;;
14;9;3;11;18.67503;;
14;9;3;12;19.72478;;
14;9;5;1;32.98499;;
14;9;5;2;18.80244;;
14;9;5;3;29.43818;;
14;9;5;4;25.02218;;
14;9;5;5;17.26306;;
14;9;5;6;7.976994;;
14;9;5;7;7.473967;;
14;9;5;8;24.34767;;
14;9;5;9;6.247498;;
14;9;5;10;40.50523;;
14;9;5;11;30.24397;;
14;9;5;12;12.88908;;
16;9;3;1;14.81266;;
16;9;3;2;53.7074;;
16;9;3;3;16.54067;;
16;9;3;4;22.50636;;
16;9;3;5;4.673344;;
16;9;3;6;11.3011;;
16;9;3;7;9.001395;;
16;9;3;8;14.91008;;
16;9;3;9;52.92262;;
16;9;3;10;14.50805;;
16;9;3;11;23.16823;;
16;9;3;12;2.601242;;
16;9;2;1;46.47078;;
16;9;2;2;18.13605;;
16;9;2;3;37.91961;;
16;9;2;4;13.73126;;
16;9;2;5;1.329276;;
16;9;2;6;23.37504;;
16;9;2;7;33.802;;
16;9;2;8;24.9659;;
16;9;2;9;23.59618;;
16;9;2;10;44.7769;;
16;9;2;11;17.93243;;
16;9;2;12;31.29576;;
28;9;2;1;29.77014;;
28;9;2;2;7.869312;;
28;9;2;3;56.0975;;
28;9;2;4;9.453068;;
28;9;2;5;5.545575;;
28;9;2;7;20.58737;;
28;9;2;8;19.33518;;
28;9;2;9;4.832172;;
28;9;2;10;13.28086;;
28;9;2;11;6.126998;;
28;9;2;12;25.67289;;
28;9;4;1;15.4724;;
28;9;4;2;9.428286;;
28;9;4;3;7.35437;;
28;9;4;4;4.821209;;
28;9;4;5;8.038272;;
28;9;4;6;16.6671;;
28;9;4;7;30.38015;;
28;9;4;8;39.32824;;
28;9;4;9;2.028725;;
28;9;4;10;26.81742;;
28;9;4;12;20.59889;;
30;9;2;1;17.46816;;
30;9;2;2;17.87469;;
30;9;2;3;20.60298;;
30;9;2;4;28.42235;;
30;9;2;5;22.18525;;
30;9;2;6;6.595607;;
30;9;2;7;19.15209;;
30;9;2;8;21.58994;;
30;9;2;9;0.2492829;;
30;9;2;10;32.44677;;
30;9;2;11;13.52846;;
30;9;2;12;16.68033;;
28;9;5;1;10.08375;;
28;9;5;2;13.54643;;
28;9;5;3;20.36116;;
28;9;5;4;15.42412;;
28;9;5;5;11.18315;;
28;9;5;6;24.78763;;
28;9;5;7;12.62757;;
28;9;5;8;8.142933;;
28;9;5;9;22.71877;;
28;9;5;10;24.16127;;
28;9;5;11;12.74767;;
28;9;5;12;8.092813;;
30;9;3;1;13.31619;;
30;9;3;3;38.68319;;
30;9;3;4;21.28917;;
30;9;3;5;33.11115;;
30;9;3;6;30.80142;;
30;9;3;7;6.094434;;
30;9;3;8;15.52652;;
30;9;3;9;4.894046;;
30;9;3;10;6.599298;;
30;9;3;11;9.327876;;
30;9;3;12;17.00148;;
30;9;4;1;11.5603;;
30;9;4;2;17.28232;;
30;9;4;3;28.17421;;
30;9;4;4;23.54538;;
30;9;4;5;10.15284;;
30;9;4;6;17.33397;;
30;9;4;7;36.84862;;
30;9;4;8;42.07647;;
30;9;4;9;23.09449;;
30;9;4;10;25.42029;;
30;9;4;11;14.50454;;
30;9;4;12;28.68856;;
5;10;5;1;1.266957;;
5;10;5;2;33.85864;;
5;10;5;3;20.58986;;
5;10;5;4;18.58543;;
5;10;5;5;5.875176;;
5;10;5;6;3.790391;;
5;10;5;7;7.932401;;
5;10;5;8;11.38074;;
5;10;5;9;21.4536;;
5;10;5;10;10.49683;;
5;10;5;11;40.83826;;
5;10;5;12;6.663274;;
5;10;2;1;14.17309;;
5;10;2;2;8.056502;;
5;10;2;3;5.261988;;
5;10;2;4;11.64982;;
5;10;2;5;12.33028;;
5;10;2;6;7.227507;;
5;10;2;7;47.80164;;
5;10;2;8;33.34187;;
5;10;2;9;10.45306;;
5;10;2;10;28.10499;;
5;10;2;11;46.60837;;
5;10;2;12;6.768209;;
5;10;4;1;55.94226;;
5;10;4;2;53.26247;;
5;10;4;3;13.07195;;
5;10;4;4;14.61046;;
5;10;4;5;22.69507;;
5;10;4;6;12.85073;;
5;10;4;7;8.058578;;
5;10;4;8;18.27074;;
5;10;4;9;4.750891;;
5;10;4;10;24.31161;;
5;10;4;11;17.83737;;
5;10;4;12;7.687239;;
30;9;5;1;6.6639;;
30;9;5;2;23.63039;;
30;9;5;3;3.742184;;
30;9;5;4;12.69332;;
30;9;5;5;21.88792;;
30;9;5;6;10.07747;;
30;9;5;7;11.20237;;
30;9;5;8;15.78529;;
30;9;5;9;16.59074;;
30;9;5;10;11.7654;;
30;9;5;11;12.38305;;
30;9;5;12;7.09034;;
